Time (UTCG),Angle (deg),AngleRate (deg/sec)
6:39:11 PM,77.61,-0.39798
6:39:12 PM,77.211,-0.398573
6:39:13 PM,76.812,-0.399161
6:39:14 PM,76.413,-0.399742
6:39:15 PM,76.013,-0.400317
6:39:16 PM,75.612,-0.400887
6:39:17 PM,75.211,-0.401451
6:39:18 PM,74.809,-0.40201
6:39:19 PM,74.407,-0.402563
6:39:20 PM,74.004,-0.40311
6:39:21 PM,73.601,-0.403652
6:39:22 PM,73.197,-0.404189
6:39:23 PM,72.793,-0.40472
6:39:24 PM,72.388,-0.405246
6:39:25 PM,71.982,-0.405768
6:39:26 PM,71.576,-0.406284
6:39:27 PM,71.169,-0.406795
6:39:28 PM,70.762,-0.407301
6:39:29 PM,70.355,-0.407802
6:39:30 PM,69.947,-0.408298
6:39:31 PM,69.538,-0.40879
6:39:32 PM,69.129,-0.409277
6:39:33 PM,68.72,-0.409759
6:39:34 PM,68.31,-0.410237
6:39:35 PM,67.899,-0.41071
6:39:36 PM,67.488,-0.411179
6:39:37 PM,67.077,-0.411643
6:39:38 PM,66.665,-0.412103
6:39:39 PM,66.253,-0.412559
6:39:40 PM,65.84,-0.41301
6:39:41 PM,65.427,-0.413457
6:39:42 PM,65.013,-0.4139
6:39:43 PM,64.599,-0.414339
6:39:44 PM,64.184,-0.414773
6:39:45 PM,63.769,-0.415204
6:39:46 PM,63.354,-0.415631
6:39:47 PM,62.938,-0.416054
6:39:48 PM,62.522,-0.416473
6:39:49 PM,62.105,-0.416888
6:39:50 PM,61.688,-0.417299
6:39:51 PM,61.271,-0.417707
6:39:52 PM,60.853,-0.418111
6:39:53 PM,60.434,-0.418511
6:39:54 PM,60.016,-0.418908
6:39:55 PM,59.597,-0.419301
6:39:56 PM,59.177,-0.41969
6:39:57 PM,58.757,-0.420076
6:39:58 PM,58.337,-0.420459
6:39:59 PM,57.916,-0.420838
6:40:00 PM,57.495,-0.421214
6:40:01 PM,57.074,-0.421586
6:40:02 PM,56.652,-0.421955
6:40:03 PM,56.23,-0.422321
6:40:04 PM,55.807,-0.422684
6:40:05 PM,55.385,-0.423043
6:40:06 PM,54.961,-0.4234
6:40:07 PM,54.538,-0.423753
6:40:08 PM,54.114,-0.424103
6:40:09 PM,53.689,-0.42445
6:40:10 PM,53.265,-0.424794
6:40:11 PM,52.84,-0.425136
6:40:12 PM,52.415,-0.425474
6:40:13 PM,51.989,-0.425809
6:40:14 PM,51.563,-0.426141
6:40:15 PM,51.137,-0.426471
6:40:16 PM,50.71,-0.426798
6:40:17 PM,50.283,-0.427122
6:40:18 PM,49.856,-0.427443
6:40:19 PM,49.428,-0.427761
6:40:20 PM,49,-0.428077
6:40:21 PM,48.572,-0.42839
6:40:22 PM,48.144,-0.428701
6:40:23 PM,47.715,-0.429008
6:40:24 PM,47.285,-0.429314
6:40:25 PM,46.856,-0.429616
6:40:26 PM,46.426,-0.429917
6:40:27 PM,45.996,-0.430214
6:40:28 PM,45.566,-0.430509
6:40:29 PM,45.135,-0.430802
6:40:30 PM,44.704,-0.431092
6:40:31 PM,44.273,-0.43138
6:40:32 PM,43.841,-0.431666
6:40:33 PM,43.41,-0.431949
6:40:34 PM,42.978,-0.43223
6:40:35 PM,42.545,-0.432508
6:40:36 PM,42.113,-0.432785
6:40:37 PM,41.68,-0.433059
6:40:38 PM,41.246,-0.43333
6:40:39 PM,40.813,-0.4336
6:40:40 PM,40.379,-0.433867
6:40:41 PM,39.945,-0.434132
6:40:42 PM,39.511,-0.434396
6:40:43 PM,39.076,-0.434656
6:40:44 PM,38.642,-0.434915
6:40:45 PM,38.207,-0.435172
6:40:46 PM,37.771,-0.435427
6:40:47 PM,37.336,-0.435679
6:40:48 PM,36.9,-0.43593
6:40:49 PM,36.464,-0.436179
6:40:50 PM,36.028,-0.436425
6:40:51 PM,35.591,-0.43667
6:40:52 PM,35.154,-0.436913
6:40:53 PM,34.717,-0.437153
6:40:54 PM,34.28,-0.437392
6:40:55 PM,33.842,-0.437629
6:40:56 PM,33.405,-0.437864
6:40:57 PM,32.967,-0.438098
6:40:58 PM,32.529,-0.438329
6:40:59 PM,32.09,-0.438559
6:41:00 PM,31.651,-0.438787
6:41:01 PM,31.212,-0.439013
6:41:02 PM,30.773,-0.439237
6:41:03 PM,30.334,-0.43946
6:41:04 PM,29.894,-0.43968
6:41:05 PM,29.455,-0.439899
6:41:06 PM,29.015,-0.440117
6:41:07 PM,28.574,-0.440333
6:41:08 PM,28.134,-0.440547
6:41:09 PM,27.693,-0.440759
6:41:10 PM,27.252,-0.44097
6:41:11 PM,26.811,-0.441179
6:41:12 PM,26.37,-0.441386
6:41:13 PM,25.929,-0.441592
6:41:14 PM,25.487,-0.441796
6:41:15 PM,25.045,-0.441999
6:41:16 PM,24.603,-0.4422
6:41:17 PM,24.161,-0.4424
6:41:18 PM,23.718,-0.442598
6:41:19 PM,23.275,-0.442795
6:41:20 PM,22.833,-0.44299
6:41:21 PM,22.389,-0.443183
6:41:22 PM,21.946,-0.443375
6:41:23 PM,21.503,-0.443566
6:41:24 PM,21.059,-0.443755
6:41:25 PM,20.615,-0.443943
6:41:26 PM,20.171,-0.444129
6:41:27 PM,19.727,-0.444314
6:41:28 PM,19.283,-0.444498
6:41:29 PM,18.838,-0.44468
6:41:30 PM,18.393,-0.444861
6:41:31 PM,17.948,-0.44504
6:41:32 PM,17.503,-0.445218
6:41:33 PM,17.058,-0.445395
6:41:34 PM,16.612,-0.44557
6:41:35 PM,16.167,-0.445744
6:41:36 PM,15.721,-0.445916
6:41:37 PM,15.275,-0.446088
6:41:38 PM,14.829,-0.446258
6:41:39 PM,14.382,-0.446426
6:41:40 PM,13.936,-0.446594
6:41:41 PM,13.489,-0.44676
6:41:42 PM,13.042,-0.446925
6:41:43 PM,12.595,-0.447088
6:41:44 PM,12.148,-0.447251
6:41:45 PM,11.701,-0.447412
6:41:46 PM,11.253,-0.447572
6:41:47 PM,10.806,-0.44773
6:41:48 PM,10.358,-0.447888
6:41:49 PM,9.91,-0.448044
6:41:50 PM,9.462,-0.448198
6:41:51 PM,9.013,-0.448352
6:41:52 PM,8.565,-0.448504
6:41:53 PM,8.116,-0.448655
6:41:54 PM,7.668,-0.448804
6:41:55 PM,7.219,-0.448952
6:41:56 PM,6.77,-0.449099
6:41:57 PM,6.321,-0.449244
6:41:58 PM,5.871,-0.449387
6:41:59 PM,5.422,-0.449528
6:42:00 PM,4.972,-0.449668
6:42:01 PM,4.523,-0.449804
6:42:02 PM,4.073,-0.449937
6:42:03 PM,3.623,-0.450065
6:42:04 PM,3.173,-0.450186
6:42:05 PM,2.722,-0.450296
6:42:06 PM,2.272,-0.450387
6:42:07 PM,1.822,-0.450436
6:42:08 PM,1.371,-0.450384
6:42:09 PM,0.921,-0.449992
6:42:10 PM,0.472,-0.447415
6:42:11 PM,0.062,0
6:42:12 PM,0.062,0
6:42:13 PM,0.062,0
6:42:14 PM,0.062,0
6:42:15 PM,0.062,0
6:42:16 PM,0.062,0
6:42:17 PM,0.062,0
6:42:18 PM,0.062,0
6:42:19 PM,0.062,0
6:42:20 PM,0.062,0
6:42:21 PM,0.062,0
6:42:22 PM,0.062,0
6:42:23 PM,0.062,0
6:42:24 PM,0.062,0
6:42:25 PM,0.062,0
6:42:26 PM,0.062,0
6:42:27 PM,0.062,0
6:42:28 PM,0.062,0
6:42:29 PM,0.062,0
6:42:30 PM,0.062,0
6:42:31 PM,0.062,0
6:42:32 PM,0.062,0
6:42:33 PM,0.062,0
6:42:34 PM,0.062,0
6:42:35 PM,0.062,0
6:42:36 PM,0.062,0
6:42:37 PM,0.062,0
6:42:38 PM,0.062,0
6:42:39 PM,0.062,0
6:42:40 PM,0.062,0
6:42:41 PM,0.062,0
6:42:42 PM,0.062,0
6:42:43 PM,0.062,0
6:42:44 PM,0.062,0
6:42:45 PM,0.062,0
6:42:46 PM,0.062,0
6:42:47 PM,0.062,0
6:42:48 PM,0.062,0
6:42:49 PM,0.062,0
6:42:50 PM,0.062,0
6:42:51 PM,0.062,0
6:42:52 PM,0.062,0
6:42:53 PM,0.062,0
6:42:54 PM,0.062,0
6:42:55 PM,0.062,0
6:42:56 PM,0.062,0
6:42:57 PM,0.062,0
6:42:58 PM,0.062,0
6:42:59 PM,0.062,0
6:43:00 PM,0.062,0
6:43:01 PM,0.062,0
6:43:02 PM,0.062,0
6:43:03 PM,0.062,0
6:43:04 PM,0.062,0
6:43:05 PM,0.062,0
6:43:06 PM,0.062,0
6:43:07 PM,0.062,0
6:43:08 PM,0.062,0
6:43:09 PM,0.062,0
6:43:10 PM,0.062,0
6:43:11 PM,0.062,0
6:43:12 PM,0.062,0
6:43:13 PM,0.062,0
6:43:14 PM,0.062,0
6:43:15 PM,0.062,0
6:43:16 PM,0.062,0
6:43:17 PM,0.062,0
6:43:18 PM,0.062,0
6:43:19 PM,0.062,0
6:43:20 PM,0.062,0
6:43:21 PM,0.062,0
6:43:22 PM,0.062,0
6:43:23 PM,0.062,0
6:43:24 PM,0.062,0
6:43:25 PM,0.062,0
6:43:26 PM,0.062,0
6:43:27 PM,0.062,0
6:43:28 PM,0.062,0
6:43:29 PM,0.062,0
6:43:30 PM,0.062,0
6:43:31 PM,0.062,0
6:43:32 PM,0.062,0
6:43:33 PM,0.062,0
6:43:34 PM,0.062,0
6:43:35 PM,0.062,0
6:43:36 PM,0.062,0
6:43:37 PM,0.062,0
6:43:38 PM,0.062,0
6:43:39 PM,0.062,0
6:43:40 PM,0.062,0
6:43:41 PM,0.062,0
6:43:42 PM,0.062,0
6:43:43 PM,0.062,0
6:43:44 PM,0.062,0
6:43:45 PM,0.062,0
6:43:46 PM,0.062,0
6:43:47 PM,0.062,0
6:43:48 PM,0.062,0
6:43:49 PM,0.062,0
6:43:50 PM,0.062,0
6:43:51 PM,0.062,0
6:43:52 PM,0.062,0
6:43:53 PM,0.062,0
6:43:54 PM,0.062,0
6:43:55 PM,0.062,0
6:43:56 PM,0.062,0
6:43:57 PM,0.062,0
6:43:58 PM,0.062,0
